,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,HE12,2021-04-15T23:29:57,1,91,C,34,0.531593407,0.504120879,0.521978022,0.568681319,0.635989011,0.743131868,0.883241758,0.927197802,0.927197802,0.927197802,1,1,0.975274725,0.972527473,0.957417582,0.910714286,0.991758242,0.953296703,0.96978022,0.986263736,0.975274725,0.929945055,0.853021978,0.667582418
2,HLM,2021-04-15T23:29:52,2,583,C,465,0.19296741,0.188464837,0.190394511,0.193181818,0.191252144,0.194253859,0.198327616,0.20990566,0.288164666,0.361277873,0.534305317,0.729202401,0.848627787,0.896440823,0.889150943,0.837049743,0.729631218,0.662092624,0.586406518,0.563250429,0.612993139,0.575686106,0.410806175,0.299313894
3,RHM,2021-04-15T23:29:58,3,322,C,117,0.677018634,0.694487578,0.701086957,0.708850932,0.670419255,0.67818323,0.67818323,0.664208075,0.68439441,0.653726708,0.618012422,0.586568323,0.596273292,0.68439441,0.62810559,0.517468944,0.408385093,0.42197205,0.451086957,0.49689441,0.571428571,0.55628882,0.588121118,0.612189441
4,BM29,2021-04-15T23:30:09,4,97,C,95,0.082474227,0.06056701,0.055412371,0.051546392,0.167525773,0.162371134,0.158505155,0.193298969,0.391752577,0.591494845,0.827319588,0.951030928,0.920103093,0.882731959,0.894329897,0.944587629,0.976804124,0.921391753,0.675257732,0.594072165,0.542525773,0.488402062,0.37371134,0.257731959
5,Q81,2021-04-15T23:29:49,5,96,C,74,0.233072917,0.235677083,0.235677083,0.23828125,0.221354167,0.22265625,0.2265625,0.350260417,0.786458333,0.859375,0.958333333,0.986979167,1,1,0.950520833,0.858072917,0.7109375,0.69140625,0.631510417,0.752604167,0.81640625,0.688802083,0.4921875,0.411458333
6,C20,2021-04-15T23:30:08,6,176,C,125,0.208806818,0.191051136,0.158380682,0.1484375,0.279829545,0.276988636,0.346590909,0.490767045,0.749289773,0.852982955,0.987926136,0.974431818,0.975852273,0.930397727,0.896306818,0.916903409,0.947443182,0.919034091,0.887784091,0.944602273,0.924005682,0.849431818,0.616345137,0.400485597
7,FR3M,2021-04-15T23:30:00,7,228,C,165,0.300438596,0.30372807,0.304824561,0.319627193,0.326754386,0.336074561,0.382675439,0.452850877,0.580592105,0.683114035,0.758223684,0.699013158,0.73629386,0.790570175,0.588267544,0.507675439,0.474232456,0.411184211,0.385416667,0.354714912,0.329495614,0.319078947,0.326754386,0.34375
8,C32,2021-04-15T23:29:58,8,289,C,85,0.679930796,0.700692042,0.708477509,0.713235294,0.710207612,0.706747405,0.693771626,0.634948097,0.549307958,0.468858131,0.403546713,0.389705882,0.374567474,0.368079585,0.359861592,0.358564014,0.374567474,0.392301038,0.401384083,0.42949827,0.490051903,0.541089965,0.576989619,0.614186851
9,C6,2021-04-15T23:29:48,9,332,C,110,0.657379518,0.667921687,0.673192771,0.677710843,0.674322289,0.673192771,0.661144578,0.628388554,0.616340361,0.554593373,0.533885542,0.565135542,0.624246988,0.667168675,0.617093373,0.599021084,0.588855422,0.592996988,0.570406627,0.618599398,0.642695783,0.682605422,0.675451807,0.646084337
10,TG2,2021-04-15T23:29:55,10,273,C,59,0.734432234,0.751373626,0.754578755,0.760531136,0.762362637,0.754578755,0.75,0.701465201,0.611263736,0.566391941,0.539835165,0.542582418,0.570512821,0.731227106,0.74496337,0.744047619,0.659798535,0.66529304,0.668040293,0.706959707,0.741758242,0.746794872,0.763736264,0.758699634
11,BP1,2021-04-15T23:30:11,11,543,C,186,0.641344383,0.659069982,0.669198895,0.678176796,0.674723757,0.677946593,0.665055249,0.625690608,0.58747698,0.494475138,0.456491713,0.46339779,0.439917127,0.479051565,0.461325967,0.452808471,0.45626151,0.447744015,0.442679558,0.467311234,0.524171271,0.550184162,0.568370166,0.57941989
12,TG1,2021-04-15T23:30:11,12,133,C,43,0.708646617,0.740601504,0.75093985,0.747180451,0.738721805,0.732142857,0.721804511,0.644736842,0.539473684,0.465225564,0.373120301,0.359022556,0.363721805,0.395676692,0.359022556,0.363721805,0.367481203,0.406015038,0.454887218,0.504699248,0.562030075,0.613721805,0.641917293,0.64943609
13,TGM2,2021-04-15T23:29:55,13,189,C,123,0.366402116,0.367724868,0.372354497,0.37037037,0.361772487,0.366402116,0.362433862,0.338624339,0.295634921,0.267195767,0.263888889,0.263227513,0.30489418,0.389550265,0.308862434,0.274470899,0.264550265,0.269179894,0.271164021,0.270502646,0.296296296,0.341269841,0.314153439,0.321428571
14,TE14,2021-04-15T23:29:58,14,138,C,29,0.769021739,0.79076087,0.798913043,0.804347826,0.796195652,0.789855072,0.769021739,0.736413043,0.630434783,0.567934783,0.511775362,0.548007246,0.565217391,0.549818841,0.54076087,0.524456522,0.532608696,0.538949275,0.507246377,0.539855072,0.581521739,0.63134058,0.701086957,0.745471014
15,BM3,2021-04-15T23:30:11,15,48,C,0,0.986979167,0.950520833,0.955729167,0.986979167,0.989583333,1,0.924479167,0.893229167,0.84375,0.776041667,0.700520833,0.697916667,0.6796875,0.739583333,0.6875,0.7421875,0.796875,0.807291667,0.859375,0.9140625,0.885416667,0.916666667,0.955729167,0.924479167
16,BM9,2018-12-17T07:42:34,16,612,C,121,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582
17,HG44,2021-04-15T23:26:08,17,143,C,16,0.853146853,0.774475524,0.76048951,0.691433566,0.916958042,0.957167832,0.983391608,1,1,1,0.993881119,0.993006993,0.950174825,0.965909091,0.91520979,0.914335664,0.950174825,0.934440559,0.942307692,0.97027972,0.994755245,0.978146853,0.972902098,0.971153846
18,HG64,2021-04-15T23:26:14,18,81,C,34,0.689814815,0.584876543,0.50308642,0.462962963,0.563271605,0.563271605,0.587962963,0.679012346,0.949074074,0.831790123,0.898148148,0.896604938,0.888888889,0.854938272,0.74845679,0.635802469,0.884259259,0.910493827,0.87037037,0.88117284,0.875,0.841049383,0.87962963,0.814814815
19,PM27,2021-04-15T23:25:50,19,308,C,82,0.717938312,0.752029221,0.767451299,0.774350649,0.78125,0.779626623,0.762987013,0.698863636,0.582386364,0.478896104,0.4375,0.403409091,0.372159091,0.361607143,0.364042208,0.357954545,0.369724026,0.382305195,0.403814935,0.445211039,0.493506494,0.544642857,0.605113636,0.665178571
20,PM28,2021-04-15T23:25:58,20,302,C,69,0.74544702,0.759933775,0.769453642,0.772764901,0.775662252,0.774834437,0.770281457,0.73468543,0.637831126,0.554221854,0.489238411,0.470198675,0.442466887,0.428807947,0.425496689,0.449917219,0.455711921,0.459437086,0.469784768,0.51531457,0.561672185,0.603476821,0.64486755,0.694536424
21,TM36,2021-04-15T23:25:51,21,221,C,40,0.810520362,0.820135747,0.822963801,0.825791855,0.829751131,0.828054299,0.818438914,0.743778281,0.591628959,0.511877828,0.491515837,0.452488688,0.425339367,0.394230769,0.398190045,0.41459276,0.423076923,0.425339367,0.412895928,0.466628959,0.520927602,0.595588235,0.683823529,0.772058824
22,TM37,2021-04-15T23:26:06,22,238,C,64,0.723739496,0.734768908,0.74842437,0.75105042,0.757878151,0.754201681,0.741596639,0.668592437,0.486344538,0.394957983,0.367647059,0.325105042,0.296743697,0.302521008,0.294642857,0.338760504,0.341386555,0.350315126,0.351890756,0.381302521,0.440651261,0.525210084,0.610294118,0.667542017
23,T50,2021-04-15T23:26:09,23,362,C,92,0.764157459,0.78211326,0.776588398,0.773825967,0.78211326,0.781077348,0.78038674,0.709944751,0.623273481,0.521754144,0.485151934,0.450966851,0.444406077,0.445441989,0.41781768,0.41160221,0.431975138,0.44198895,0.483425414,0.540055249,0.613604972,0.639848066,0.637430939,0.680939227
24,T51,2021-04-15T23:26:15,24,351,C,48,0.877492877,0.898860399,0.910612536,0.922008547,0.927706553,0.921296296,0.912749288,0.83048433,0.699430199,0.617521368,0.557692308,0.527065527,0.517806268,0.520299145,0.492521368,0.506766382,0.492165242,0.518874644,0.561965812,0.607905983,0.684116809,0.689814815,0.726851852,0.783475783
25,TM43,2021-04-15T23:26:17,25,249,C,183,0.25753012,0.263554217,0.268072289,0.273594378,0.28062249,0.282630522,0.282630522,0.281626506,0.319779116,0.322289157,0.309236948,0.314759036,0.341365462,0.405120482,0.327309237,0.321285141,0.297690763,0.307228916,0.305722892,0.324799197,0.310240964,0.286144578,0.242971888,0.234437751
26,T15,2021-04-15T23:26:01,26,30,C,5,0.616666667,0.654166667,0.620833333,0.645833333,0.791666667,0.841666667,0.933333333,1,1,1,0.958333333,0.9625,0.995833333,0.970833333,0.9125,0.9125,0.891666667,0.929166667,1,0.958333333,1,0.991666667,0.729166667,0.616666667
27,T16,2021-04-15T23:25:50,27,107,C,32,0.735981308,0.751168224,0.779205607,0.797897196,0.803738318,0.825934579,0.853971963,0.74182243,0.711448598,0.692757009,0.628504673,0.598130841,0.563084112,0.587616822,0.580607477,0.515186916,0.519859813,0.525700935,0.59228972,0.713785047,0.745327103,0.781542056,0.75817757,0.681074766
28,T17,2021-04-15T23:25:50,28,245,C,96,0.635714286,0.629591837,0.623469388,0.621428571,0.612755102,0.615306122,0.610204082,0.59744898,0.620918367,0.618367347,0.639795918,0.691836735,0.67244898,0.692346939,0.701020408,0.701530612,0.692346939,0.703061224,0.742857143,0.733163265,0.710714286,0.781122449,0.735714286,0.678571429
29,T18,2021-04-15T23:26:06,29,84,C,42,0.46875,0.447916667,0.425595238,0.430059524,0.480654762,0.494047619,0.511904762,0.572916667,0.834821429,0.897321429,0.921130952,0.946428571,0.956845238,0.93452381,0.889880952,0.894345238,0.94047619,0.883928571,0.90922619,0.938988095,0.961309524,0.90625,0.613095238,0.50297619
30,B9,2021-04-15T23:26:16,30,197,C,94,0.535532995,0.560913706,0.56535533,0.577411168,0.587563452,0.593274112,0.569796954,0.521573604,0.444162437,0.389593909,0.351522843,0.308375635,0.306472081,0.305203046,0.304568528,0.296954315,0.31535533,0.335659898,0.341370558,0.350888325,0.397208122,0.425761421,0.465101523,0.496827411
31,B10,2021-04-15T23:25:59,31,511,C,134,0.733121331,0.744863014,0.750733855,0.755626223,0.76369863,0.764921722,0.762475538,0.704011742,0.606898239,0.516389432,0.46795499,0.459148728,0.455234834,0.470156556,0.478962818,0.456947162,0.46037182,0.480675147,0.502446184,0.565802348,0.64481409,0.670988258,0.670254403,0.693493151
32,B14,2018-10-29T09:18:49,32,208,C,61,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769
33,WCB,2021-04-15T23:27:33,33,135,C,77,0.450925926,0.460185185,0.464814815,0.465740741,0.469444444,0.475,0.476851852,0.466666667,0.462037037,0.519444444,0.619444444,0.832407407,0.980555556,0.986111111,0.937962963,0.957407407,0.931481481,0.919444444,0.9,0.816666667,0.849074074,0.817592593,0.691666667,0.486111111
34,ACB,2021-04-15T23:27:18,34,96,C,61,0.365885417,0.368489583,0.377604167,0.3828125,0.393229167,0.408854167,0.408854167,0.467447917,0.6875,0.751302083,0.825520833,0.928385417,0.970052083,0.963541667,0.951822917,0.932291667,0.92578125,0.94140625,0.881510417,0.752604167,0.811197917,0.768229167,0.528645833,0.391927083
