,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,HE12,2021-04-11T23:29:16,1,91,C,54,0.607142857,0.554945055,0.538461538,0.532967033,0.539835165,0.557692308,0.616758242,0.725274725,0.861263736,0.879120879,0.923076923,0.994505495,0.979395604,1,0.986263736,0.964285714,0.837912088,0.903846154,0.95467033,0.96978022,0.983516484,0.873626374,0.774725275,0.64010989
2,HLM,2021-04-11T23:29:15,2,583,C,498,0.183533448,0.16745283,0.170025729,0.173241852,0.17109777,0.172598628,0.176672384,0.180317324,0.248499142,0.319897084,0.502358491,0.731132075,0.859562607,0.888507719,0.869854202,0.860205832,0.792238422,0.730060034,0.621783877,0.548885077,0.503430532,0.401586621,0.279802744,0.217838765
3,RHM,2021-04-11T23:29:16,3,322,C,96,0.630434783,0.649456522,0.655667702,0.659549689,0.64363354,0.647127329,0.661102484,0.629658385,0.591614907,0.548136646,0.502717391,0.457298137,0.447593168,0.531832298,0.45302795,0.398291925,0.381599379,0.382375776,0.406055901,0.467003106,0.548136646,0.557453416,0.593944099,0.611024845
4,BM29,2021-04-11T23:29:08,4,97,C,90,0.149484536,0.109536082,0.108247423,0.106958763,0.137886598,0.139175258,0.179123711,0.219072165,0.494845361,0.603092784,0.81443299,0.993556701,0.978092784,0.966494845,0.917525773,0.992268041,0.976804124,0.880154639,0.644329897,0.462628866,0.445876289,0.307989691,0.193298969,0.128865979
5,Q81,2021-04-11T23:29:28,5,96,C,76,0.3046875,0.268229167,0.274739583,0.276041667,0.25390625,0.251302083,0.243489583,0.334635417,0.6328125,0.740885417,0.805989583,0.9765625,1,1,0.9453125,0.891927083,0.7421875,0.717447917,0.69140625,0.73046875,0.703125,0.526041667,0.403645833,0.356770833
6,C20,2021-04-11T23:29:28,6,176,C,136,0.332386364,0.218039773,0.212357955,0.215909091,0.258522727,0.250710227,0.259943182,0.357954545,0.529829545,0.619318182,0.845170455,0.978693182,0.985085227,0.933238636,0.8125,0.8828125,0.926136364,0.895596591,0.829545455,0.921164773,0.903409091,0.794034091,0.4765625,0.3359375
7,FR3M,2021-04-11T23:29:22,7,228,C,34,0.433662281,0.433662281,0.439692982,0.440789474,0.394736842,0.398026316,0.322368421,0.319627193,0.362390351,0.384868421,0.474232456,0.459429825,0.512061404,0.669407895,0.498903509,0.411184211,0.422697368,0.374451754,0.365131579,0.362938596,0.375,0.355263158,0.359100877,0.358552632
8,C32,2021-04-11T23:29:23,8,289,C,89,0.670415225,0.692474048,0.69982699,0.704152249,0.701124567,0.698961938,0.701124567,0.637110727,0.570069204,0.50432526,0.415657439,0.359429066,0.354238754,0.35467128,0.348615917,0.352076125,0.354238754,0.363321799,0.385380623,0.456747405,0.521193772,0.57266436,0.618512111,0.657439446
9,C6,2021-04-11T23:29:23,9,332,C,117,0.682981928,0.679216867,0.680346386,0.682605422,0.72439759,0.722138554,0.722138554,0.688629518,0.675828313,0.626129518,0.596009036,0.612198795,0.692771084,0.729292169,0.640436747,0.62123494,0.585843373,0.600150602,0.611069277,0.678463855,0.733433735,0.757153614,0.731927711,0.699171687
10,TG2,2021-04-11T23:29:27,10,273,C,78,0.750915751,0.768315018,0.769230769,0.772893773,0.76007326,0.758241758,0.758699634,0.698717949,0.632326007,0.586080586,0.543040293,0.517399267,0.554029304,0.723443223,0.649267399,0.578296703,0.544413919,0.569139194,0.595238095,0.688186813,0.717032967,0.727106227,0.75,0.77014652
