"","carpark_number","update_datetime","id","total_lots","lot_type","lots_available","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1","HE12","2021-04-16T23:38:22",1,"91","C","56",0.615384615384615,0.597527472527473,0.611263736263736,0.657967032967033,0.791208791208791,0.875,0.995879120879121,1,1,1,1,1,1,1,1,0.997252747252747,0.998626373626374,0.997252747252747,1,0.979395604395604,0.997252747252747,0.976648351648352,0.884615384615385,0.759615384615385
"2","HLM","2021-04-16T23:38:14",2,"583","C","466",0.252144082332762,0.244854202401372,0.245068610634648,0.247427101200686,0.24442538593482,0.245711835334477,0.248927958833619,0.257075471698113,0.28795025728988,0.347341337907376,0.466552315608919,0.576972555746141,0.695754716981132,0.774228130360206,0.803387650085763,0.72491423670669,0.619639794168096,0.572684391080618,0.543739279588336,0.584476843910806,0.644296740994854,0.579116638078902,0.418953687821612,0.316037735849057
"3","RHM","2021-04-16T23:38:22",3,"322","C","69",0.62694099378882,0.641304347826087,0.65333850931677,0.66304347826087,0.635481366459627,0.647515527950311,0.654114906832298,0.672748447204969,0.71389751552795,0.736024844720497,0.754658385093168,0.736801242236025,0.755046583850932,0.720108695652174,0.690605590062112,0.603260869565217,0.555512422360248,0.554736024844721,0.542313664596273,0.529891304347826,0.558229813664596,0.569099378881988,0.568711180124224,0.602484472049689
"4","BM29","2021-04-16T23:38:26",4,"97","C","94",0.229381443298969,0.210051546391753,0.198453608247423,0.188144329896907,0.262886597938144,0.255154639175258,0.256443298969072,0.270618556701031,0.452319587628866,0.728092783505155,0.865979381443299,0.979381443298969,0.972938144329897,0.952319587628866,0.918814432989691,0.925257731958763,0.940721649484536,0.823453608247423,0.701030927835052,0.618556701030928,0.653350515463918,0.574742268041237,0.403350515463918,0.306701030927835
"5","Q81","2021-04-16T23:38:10",5,"96","C","79",0.30859375,0.29296875,0.29296875,0.296875,0.303385416666667,0.3046875,0.322916666666667,0.41015625,0.684895833333333,0.96484375,0.98046875,0.997395833333333,1,0.998697916666667,0.994791666666667,0.94140625,0.778645833333333,0.734375,0.77734375,0.889322916666667,0.877604166666667,0.708333333333333,0.553385416666667,0.45703125
"6","C20","2021-04-16T23:38:28",6,"172","C","147",0.337770877378436,0.293720269556025,0.278706395348837,0.290235200845666,0.373232690274841,0.385455206131078,0.440852933403805,0.605889931289641,0.855856897463002,0.985696353065539,0.974993393234672,0.997869318181818,0.994301664904863,0.947443181818182,0.898206263213531,0.850604519027484,0.852735200845666,0.86978065539112,0.852735200845666,0.85699656448203,0.806570428118393,0.746201109936575,0.486257928118393,0.357706791754757
"7","FR3M","2021-04-16T23:38:06",7,"228","C","165",0.356907894736842,0.359649122807018,0.361293859649123,0.383223684210526,0.373355263157895,0.388157894736842,0.450109649122807,0.566337719298246,0.62719298245614,0.754385964912281,0.804824561403509,0.863486842105263,0.875,0.87390350877193,0.78344298245614,0.712171052631579,0.667763157894737,0.641995614035088,0.598684210526316,0.563048245614035,0.549890350877193,0.555372807017544,0.525767543859649,0.52905701754386
"8","C32","2021-04-16T23:38:08",8,"289","C","101",0.637543252595156,0.66522491349481,0.67257785467128,0.685121107266436,0.680795847750865,0.681660899653979,0.674740484429066,0.646193771626298,0.606833910034602,0.520328719723183,0.484429065743945,0.449826989619377,0.418252595155709,0.429498269896194,0.46583044982699,0.476643598615917,0.469723183391003,0.47621107266436,0.498269896193772,0.514273356401384,0.519896193771626,0.548442906574395,0.576557093425606,0.598615916955017
"9","C6","2021-04-16T23:38:20",9,"332","C","122",0.650225903614458,0.667921686746988,0.677334337349398,0.678463855421687,0.681852409638554,0.680722891566265,0.679593373493976,0.657756024096386,0.640436746987952,0.632530120481928,0.637801204819277,0.648719879518072,0.684864457831325,0.719126506024096,0.719503012048193,0.753012048192771,0.73230421686747,0.775602409638554,0.743222891566265,0.726280120481928,0.755647590361446,0.771460843373494,0.761295180722892,0.737575301204819
"10","TG2","2021-04-16T23:38:15",10,"273","C","16",0.772893772893773,0.78021978021978,0.78525641025641,0.792124542124542,0.811355311355311,0.810897435897436,0.808150183150183,0.780677655677656,0.745421245421245,0.717032967032967,0.683150183150183,0.668498168498169,0.6996336996337,0.713369963369963,0.725732600732601,0.696428571428571,0.657967032967033,0.684981684981685,0.723901098901099,0.721153846153846,0.732142857142857,0.74496336996337,0.788461538461538,0.774725274725275
