,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,HE12,2021-04-10T23:50:23,1,91,C,32,0.666208791,0.633241758,0.653846154,0.695054945,0.752747253,0.825549451,0.918956044,0.960164835,1,1,1,1,1,1,1,0.983516484,1,1,1,1,0.973901099,0.899725275,0.726648352,0.656593407
2,HLM,2021-04-10T23:50:30,2,583,C,490,0.186963979,0.180746141,0.183104631,0.188679245,0.173670669,0.176886792,0.17838765,0.184819897,0.194897084,0.229202401,0.301672384,0.443610635,0.559819897,0.653945111,0.627787307,0.529588336,0.42602916,0.38228988,0.340909091,0.365994854,0.368353345,0.302744425,0.238850772,0.218267581
3,RHM,2021-04-10T23:50:23,3,322,C,95,0.623835404,0.647127329,0.657220497,0.666537267,0.648680124,0.659549689,0.66265528,0.674301242,0.755822981,0.80628882,0.835791925,0.838897516,0.840062112,0.79076087,0.734083851,0.659161491,0.587732919,0.562888199,0.556677019,0.584627329,0.577251553,0.57181677,0.592779503,0.60636646
4,BM29,2021-04-10T23:50:19,4,97,C,91,0.12757732,0.12757732,0.101804124,0.112113402,0.264175258,0.25257732,0.25128866,0.262886598,0.338917526,0.283505155,0.489690722,0.733247423,0.833762887,0.824742268,0.759020619,0.746134021,0.778350515,0.74742268,0.640463918,0.534793814,0.492268041,0.360824742,0.231958763,0.184278351
5,Q81,2021-04-10T23:50:43,5,96,C,74,0.266927083,0.255208333,0.25390625,0.2578125,0.243489583,0.24609375,0.25,0.303385417,0.55859375,0.79296875,0.884114583,0.9453125,0.9765625,0.98828125,0.890625,0.720052083,0.548177083,0.484375,0.563802083,0.756510417,0.723958333,0.540364583,0.447916667,0.397135417
6,C20,2021-04-10T23:50:20,6,176,C,170,0.194602273,0.194602273,0.181107955,0.197443182,0.284801136,0.270596591,0.311789773,0.455965909,0.838778409,0.983664773,0.998579545,0.997869318,0.995028409,0.997869318,0.989346591,0.985085227,0.978693182,0.972301136,0.973011364,0.981534091,0.975852273,0.845170455,0.584517045,0.458096591
7,FR3M,2021-04-10T23:50:25,7,228,C,3,0.467653509,0.463267544,0.471491228,0.481359649,0.464912281,0.479166667,0.507127193,0.569627193,0.668311404,0.743421053,0.779057018,0.800438596,0.786732456,0.682565789,0.635416667,0.569627193,0.529605263,0.488486842,0.468201754,0.453947368,0.442434211,0.434210526,0.429276316,0.432565789
8,C32,2021-04-10T23:50:30,8,289,C,104,0.64316609,0.666089965,0.679065744,0.695069204,0.696799308,0.701124567,0.694204152,0.666955017,0.621539792,0.595588235,0.576557093,0.518598616,0.512110727,0.498269896,0.505190311,0.506055363,0.526384083,0.540657439,0.53200692,0.539792388,0.55017301,0.583910035,0.623269896,0.644031142
9,C6,2021-04-10T23:50:36,9,332,C,0,0.726656627,0.731927711,0.738328313,0.743222892,0.731551205,0.732680723,0.731174699,0.715737952,0.719126506,0.712725904,0.714231928,0.760165663,0.789909639,0.829066265,0.819277108,0.832454819,0.773343373,0.796310241,0.766942771,0.757906627,0.739081325,0.715361446,0.688629518,0.687876506
10,TG2,2021-04-10T23:50:25,10,273,C,83,0.770604396,0.788461538,0.790750916,0.798534799,0.798076923,0.794413919,0.794871795,0.772893773,0.750915751,0.728479853,0.720695971,0.713827839,0.721153846,0.708333333,0.703754579,0.70467033,0.702380952,0.703754579,0.711996337,0.733516484,0.744047619,0.722069597,0.712912088,0.723901099
11,BP1,2021-04-10T23:50:16,11,543,C,197,0.63213628,0.651933702,0.663443831,0.670119705,0.677486188,0.679327808,0.677946593,0.661141805,0.645257827,0.630985267,0.604742173,0.568600368,0.55087477,0.567219153,0.594152855,0.575046041,0.567219153,0.570672192,0.56606814,0.579880295,0.583103131,0.60359116,0.624769797,0.631675875
12,TG1,2021-04-10T23:50:39,12,133,C,41,0.710526316,0.72556391,0.742481203,0.755639098,0.753759398,0.743421053,0.733082707,0.685150376,0.634398496,0.597744361,0.585526316,0.522556391,0.476503759,0.505639098,0.530075188,0.540413534,0.537593985,0.55075188,0.590225564,0.586466165,0.608082707,0.645676692,0.645676692,0.671992481
13,TGM2,2021-04-10T23:50:25,13,189,C,123,0.337301587,0.351190476,0.358465608,0.358465608,0.35978836,0.362433862,0.369047619,0.365079365,0.357804233,0.353835979,0.329365079,0.337301587,0.326058201,0.339285714,0.346560847,0.345899471,0.343915344,0.34457672,0.343253968,0.358465608,0.35978836,0.360449735,0.35515873,0.373677249
14,TE14,2021-04-10T23:50:37,14,138,C,38,0.800724638,0.807971014,0.821557971,0.833333333,0.841485507,0.844202899,0.83423913,0.811594203,0.788043478,0.769927536,0.753623188,0.779891304,0.778985507,0.777173913,0.787137681,0.77807971,0.802536232,0.813405797,0.750905797,0.741847826,0.745471014,0.768115942,0.786231884,0.796195652
15,BM3,2021-04-10T23:50:26,15,48,C,0,0.9296875,0.921875,0.927083333,0.927083333,0.927083333,0.963541667,0.963541667,0.940104167,0.8984375,0.822916667,0.822916667,0.861979167,0.8125,0.859375,0.903645833,0.921875,0.994791667,0.9140625,0.947916667,0.979166667,0.9375,0.942708333,0.966145833,0.966145833
16,BM9,2018-12-17T07:42:34,16,612,C,121,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582
17,HG44,2021-04-10T23:46:47,17,143,C,0,1,0.982517483,0.923076923,0.866258741,0.958041958,0.975524476,0.983391608,1,1,1,0.998251748,1,0.998251748,0.997377622,0.98951049,0.943181818,0.954545455,0.936188811,0.965034965,0.951048951,0.965034965,0.927447552,0.979895105,0.965034965
18,HG64,2021-04-10T23:46:49,18,81,C,10,0.740740741,0.688271605,0.635802469,0.461419753,0.555555556,0.521604938,0.509259259,0.771604938,0.953703704,0.930555556,0.932098765,0.935185185,0.936728395,0.896604938,0.811728395,0.75308642,0.780864198,0.810185185,0.882716049,0.891975309,0.729938272,0.645061728,0.720679012,0.674382716
19,PM27,2021-04-10T23:46:34,19,308,C,89,0.715503247,0.743506494,0.763392857,0.775568182,0.785308442,0.787743506,0.788149351,0.745535714,0.706980519,0.644074675,0.591314935,0.545048701,0.50974026,0.496347403,0.496347403,0.517045455,0.531655844,0.532467532,0.522321429,0.534902597,0.575081169,0.61038961,0.670048701,0.712256494
20,PM28,2021-04-10T23:46:55,20,302,C,84,0.741721854,0.752897351,0.766970199,0.770281457,0.777731788,0.778559603,0.77897351,0.757036424,0.717715232,0.665976821,0.597268212,0.55339404,0.52442053,0.51986755,0.549254967,0.574503311,0.587334437,0.598096026,0.603476821,0.603062914,0.624172185,0.654387417,0.697847682,0.739652318
21,TM36,2021-04-10T23:46:45,21,221,C,41,0.808257919,0.81561086,0.825226244,0.832579186,0.837104072,0.838800905,0.837104072,0.816176471,0.779977376,0.710972851,0.652714932,0.577488688,0.523190045,0.514140271,0.541855204,0.555995475,0.581447964,0.599547511,0.553733032,0.540158371,0.5989819,0.66459276,0.752828054,0.793552036
22,TM37,2021-04-10T23:46:43,22,238,C,79,0.694852941,0.720063025,0.724789916,0.729516807,0.739495798,0.737394958,0.728466387,0.701155462,0.663340336,0.608193277,0.532037815,0.467962185,0.441176471,0.459558824,0.495273109,0.507878151,0.526260504,0.50157563,0.484768908,0.486869748,0.538865546,0.62605042,0.68539916,0.722689076
23,T50,2021-04-10T23:46:49,23,362,C,99,0.739986188,0.760013812,0.771063536,0.77140884,0.779696133,0.78038674,0.782458564,0.75448895,0.727209945,0.724447514,0.706491713,0.668162983,0.629834254,0.624654696,0.629143646,0.614640884,0.621892265,0.64191989,0.661947514,0.698895028,0.738950276,0.725138122,0.714433702,0.744820442
24,T51,2021-04-10T23:46:36,24,351,C,53,0.858974359,0.879273504,0.889245014,0.906695157,0.909188034,0.912393162,0.914529915,0.90491453,0.859330484,0.826923077,0.786324786,0.724358974,0.712606838,0.685897436,0.693732194,0.696581197,0.707977208,0.730413105,0.724002849,0.748931624,0.777065527,0.788105413,0.822649573,0.871794872
25,TM43,2021-04-10T23:46:53,25,249,C,184,0.232429719,0.244477912,0.253514056,0.268574297,0.281626506,0.287148594,0.292670683,0.309236948,0.415662651,0.504016064,0.562751004,0.617971888,0.641064257,0.663654618,0.56626506,0.484939759,0.472389558,0.455823293,0.420180723,0.391566265,0.356425703,0.300200803,0.261044177,0.245983936
26,T15,2021-04-10T23:46:48,26,30,C,13,0.6,0.604166667,0.604166667,0.616666667,0.766666667,0.7375,0.85,0.995833333,1,0.991666667,0.970833333,0.991666667,0.979166667,1,0.983333333,0.979166667,0.891666667,0.920833333,0.966666667,0.95,0.879166667,0.933333333,0.820833333,0.604166667
27,T16,2021-04-10T23:46:33,27,107,C,30,0.705607477,0.720794393,0.744158879,0.77453271,0.806074766,0.828271028,0.839953271,0.803738318,0.810747664,0.807242991,0.771028037,0.794392523,0.843457944,0.794392523,0.72546729,0.724299065,0.678738318,0.667056075,0.677570093,0.719626168,0.706775701,0.713785047,0.746495327,0.71728972
