,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,HE12,2021-04-14T23:36:44,1,91,C,55,0.476648352,0.456043956,0.472527473,0.526098901,0.692307692,0.792582418,0.973901099,1,1,1,1,1,1,1,1,0.980769231,0.989010989,0.96978022,0.983516484,1,0.989010989,0.903846154,0.788461538,0.604395604
2,HLM,2021-04-14T23:36:44,2,583,C,470,0.190394511,0.181174957,0.184391081,0.187178388,0.187607204,0.190180103,0.197684391,0.212478559,0.304030875,0.38829331,0.546312178,0.774871355,0.891080617,0.948327616,0.933962264,0.887650086,0.807246998,0.748927959,0.642367067,0.580617496,0.558104631,0.467838765,0.326543739,0.22813036
3,RHM,2021-04-14T23:36:44,3,322,C,126,0.708074534,0.726708075,0.731754658,0.733307453,0.663043478,0.670031056,0.674301242,0.642080745,0.664984472,0.626552795,0.58734472,0.567934783,0.55318323,0.63431677,0.520186335,0.45923913,0.390139752,0.395574534,0.444875776,0.515916149,0.616071429,0.595885093,0.623835404,0.663043478
4,BM29,2021-04-14T23:36:42,4,97,C,80,0.091494845,0.085051546,0.06443299,0.059278351,0.153350515,0.148195876,0.145618557,0.18943299,0.572164948,0.728092784,0.856958763,0.971649485,0.971649485,0.93943299,0.963917526,0.984536082,0.951030928,0.93943299,0.662371134,0.56443299,0.543814433,0.403350515,0.244845361,0.103092784
5,Q81,2021-04-14T23:36:48,5,96,C,77,0.239583333,0.234375,0.2265625,0.229166667,0.22265625,0.216145833,0.239583333,0.397135417,0.958333333,0.983072917,0.9921875,1,1,1,0.9609375,0.87890625,0.772135417,0.703125,0.688802083,0.712239583,0.796875,0.567708333,0.455729167,0.32421875
6,C20,2021-04-14T23:36:43,6,176,C,142,0.256392045,0.220880682,0.198153409,0.205965909,0.290482955,0.284801136,0.352982955,0.473721591,0.829545455,0.894886364,0.963068182,0.954545455,0.975852273,0.935369318,0.848011364,0.918323864,0.927556818,0.833806818,0.843039773,0.885653409,0.890625,0.778409091,0.473011364,0.317471591
7,FR3M,2021-04-14T23:36:52,7,228,C,165,0.285635965,0.286184211,0.292763158,0.308662281,0.311403509,0.322916667,0.377741228,0.434210526,0.58004386,0.676535088,0.665570175,0.667214912,0.694078947,0.814144737,0.589912281,0.492872807,0.427631579,0.383223684,0.330592105,0.311403509,0.297697368,0.271381579,0.282894737,0.292214912
8,C32,2021-04-14T23:36:52,8,289,C,87,0.689878893,0.702854671,0.718425606,0.725778547,0.714965398,0.71366782,0.691608997,0.615051903,0.496107266,0.412629758,0.37716263,0.346020761,0.355103806,0.350778547,0.346453287,0.354238754,0.353373702,0.37716263,0.393598616,0.461937716,0.523788927,0.560121107,0.612024221,0.640138408
9,C6,2021-04-14T23:36:52,9,332,C,110,0.657379518,0.673569277,0.68185241,0.685993976,0.675828313,0.678087349,0.669804217,0.609186747,0.60128012,0.520707831,0.528237952,0.552710843,0.618599398,0.672816265,0.599021084,0.577560241,0.571159639,0.586596386,0.557228916,0.615587349,0.665662651,0.6875,0.653614458,0.648343373
10,TG2,2021-04-14T23:36:58,10,273,C,61,0.75,0.764194139,0.773809524,0.782967033,0.773351648,0.765567766,0.761904762,0.6996337,0.583791209,0.538461538,0.53525641,0.532967033,0.584249084,0.687271062,0.616300366,0.5503663,0.554029304,0.570970696,0.584249084,0.654304029,0.687728938,0.70467033,0.711080586,0.724358974
11,BP1,2021-04-14T23:37:04,11,543,C,183,0.675644567,0.701197053,0.713167587,0.717541436,0.686924494,0.689456722,0.674953959,0.619014733,0.568830571,0.466390424,0.469383057,0.469843462,0.459254144,0.46339779,0.457412523,0.435773481,0.413443831,0.414594843,0.430018416,0.476519337,0.534069982,0.570211786,0.587016575,0.615561694
12,TG1,2021-04-14T23:36:54,12,133,C,39,0.718045113,0.751879699,0.760338346,0.757518797,0.746240602,0.735902256,0.72556391,0.619360902,0.471804511,0.385338346,0.355263158,0.312030075,0.30075188,0.330827068,0.289473684,0.27537594,0.309210526,0.343984962,0.395676692,0.471804511,0.587406015,0.62406015,0.655075188,0.672932331
13,TGM2,2021-04-14T23:36:59,13,189,C,123,0.361772487,0.369047619,0.384920635,0.382275132,0.373677249,0.372354497,0.372354497,0.331349206,0.296957672,0.261904762,0.262566138,0.275132275,0.320767196,0.371031746,0.304232804,0.282407407,0.272486772,0.279761905,0.294312169,0.306878307,0.329365079,0.369047619,0.356481481,0.363095238
14,TE14,2021-04-14T23:36:47,14,138,C,25,0.792572464,0.804347826,0.813405797,0.821557971,0.826992754,0.824275362,0.793478261,0.724637681,0.579710145,0.487318841,0.487318841,0.496376812,0.517210145,0.53442029,0.529891304,0.490036232,0.494565217,0.461050725,0.463768116,0.513586957,0.604166667,0.658514493,0.712862319,0.745471014
15,BM3,2021-04-14T23:36:38,15,48,C,0,0.924479167,0.958333333,0.9609375,0.958333333,0.947916667,0.927083333,0.9296875,0.901041667,0.7734375,0.721354167,0.700520833,0.700520833,0.6640625,0.7265625,0.697916667,0.752604167,0.765625,0.796875,0.875,0.888020833,0.934895833,0.971354167,0.947916667,0.958333333
16,BM9,2018-12-17T07:42:34,16,612,C,121,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582
17,HG44,2021-04-14T23:33:23,17,143,C,8,0.861013986,0.784965035,0.718531469,0.652972028,0.868881119,0.937062937,0.993881119,1,1,1,0.979020979,0.982517483,0.999125874,0.998251748,0.933566434,0.916083916,0.986888112,1,0.944055944,0.98951049,0.93006993,0.91520979,0.951923077,0.897727273
18,HG64,2021-04-14T23:33:39,18,81,C,35,0.606481481,0.535493827,0.481481481,0.432098765,0.442901235,0.410493827,0.479938272,0.586419753,0.939814815,0.816358025,0.87345679,0.933641975,0.896604938,0.916666667,0.791666667,0.672839506,0.884259259,0.890432099,0.887345679,0.938271605,0.905864198,0.736111111,0.831790123,0.785493827
19,PM27,2021-04-14T23:33:27,19,308,C,73,0.738230519,0.758928571,0.77150974,0.775974026,0.782873377,0.781655844,0.75974026,0.681006494,0.551136364,0.439935065,0.395292208,0.368912338,0.353896104,0.330762987,0.337256494,0.339691558,0.351461039,0.362418831,0.377840909,0.450081169,0.537337662,0.590503247,0.632711039,0.681006494
20,PM28,2021-04-14T23:33:20,20,302,C,77,0.744619205,0.756208609,0.764486755,0.767384106,0.774006623,0.772350993,0.768625828,0.711092715,0.574917219,0.504139073,0.454470199,0.42384106,0.396109272,0.381622517,0.389486755,0.409354305,0.405629139,0.42218543,0.44205298,0.494619205,0.570778146,0.599751656,0.655215232,0.705711921
21,TM36,2021-04-14T23:33:23,21,221,C,39,0.815045249,0.826923077,0.82918552,0.829751131,0.82861991,0.830316742,0.818438914,0.727941176,0.567307692,0.464366516,0.444004525,0.437782805,0.397624434,0.390837104,0.359162896,0.389705882,0.403280543,0.402149321,0.428733032,0.497171946,0.585972851,0.65780543,0.734728507,0.778280543
