,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,HE12,2021-04-12T23:52:52,1,91,C,48,0.597527473,0.589285714,0.589285714,0.646978022,0.659340659,0.739010989,0.880494505,0.925824176,0.940934066,0.913461538,0.934065934,0.95467033,0.93543956,0.978021978,0.917582418,0.914835165,0.923076923,0.90521978,0.93543956,0.982142857,0.942307692,0.848901099,0.745879121,0.618131868
2,HLM,2021-04-12T23:52:56,2,583,C,487,0.199399657,0.195325901,0.196826758,0.199399657,0.19897084,0.201329331,0.203473413,0.212692967,0.29609777,0.36042024,0.573756432,0.783447684,0.879931389,0.920025729,0.88829331,0.870497427,0.823113208,0.743353345,0.636363636,0.553173242,0.522727273,0.426457976,0.310248714,0.237993139
3,RHM,2021-04-12T23:52:52,3,322,C,119,0.633152174,0.650232919,0.652950311,0.660326087,0.659161491,0.666149068,0.66576087,0.638975155,0.668478261,0.61257764,0.612189441,0.569099379,0.56560559,0.629658385,0.53765528,0.451863354,0.383928571,0.420807453,0.455357143,0.526397516,0.598990683,0.605978261,0.624611801,0.64052795
4,BM29,2021-04-12T23:52:58,4,97,C,91,0.090206186,0.073453608,0.065721649,0.06443299,0.158505155,0.153350515,0.145618557,0.177835052,0.507731959,0.711340206,0.940721649,0.983247423,0.976804124,0.940721649,0.967783505,0.980670103,0.989690722,0.886597938,0.615979381,0.559278351,0.413659794,0.323453608,0.164948454,0.099226804
5,Q81,2021-04-12T23:52:59,5,96,C,74,0.2578125,0.255208333,0.24609375,0.2265625,0.244791667,0.248697917,0.247395833,0.385416667,0.83984375,0.850260417,0.9609375,0.9765625,1,0.977864583,0.9453125,0.869791667,0.796875,0.70703125,0.68359375,0.6796875,0.736979167,0.520833333,0.389322917,0.3203125
6,C20,2021-04-12T23:52:49,6,176,C,141,0.274857955,0.240767045,0.208806818,0.200284091,0.248579545,0.247159091,0.294034091,0.411931818,0.737215909,0.816051136,0.9296875,0.977982955,0.985085227,0.955965909,0.838778409,0.932528409,0.984375,0.899857955,0.883522727,0.928977273,0.915482955,0.835227273,0.494318182,0.352982955
7,FR3M,2021-04-12T23:53:00,7,228,C,164,0.367872807,0.370065789,0.371710526,0.390899123,0.39254386,0.402412281,0.443530702,0.495065789,0.622807018,0.69627193,0.763157895,0.729714912,0.747258772,0.835526316,0.652412281,0.543859649,0.423245614,0.356359649,0.304276316,0.304824561,0.294407895,0.283991228,0.288377193,0.296052632
8,C32,2021-04-12T23:52:40,8,289,C,87,0.685986159,0.708910035,0.718858131,0.726211073,0.721453287,0.721020761,0.710640138,0.642301038,0.550605536,0.460207612,0.375432526,0.352508651,0.355103806,0.355536332,0.345155709,0.337802768,0.339532872,0.357266436,0.385813149,0.46799308,0.532439446,0.589532872,0.630622837,0.65916955
9,C6,2021-04-12T23:52:50,9,332,C,13,0.710090361,0.716490964,0.725527108,0.727786145,0.684864458,0.686746988,0.68373494,0.637048193,0.618599398,0.5625,0.49623494,0.550828313,0.587349398,0.673192771,0.611445783,0.594126506,0.565888554,0.585090361,0.573418675,0.638554217,0.67996988,0.680722892,0.672439759,0.678463855
10,TG2,2021-04-12T23:52:39,10,273,C,63,0.773351648,0.793956044,0.79029304,0.787545788,0.760531136,0.755952381,0.751831502,0.702838828,0.581959707,0.578754579,0.496336996,0.517399267,0.600274725,0.723443223,0.64514652,0.548076923,0.554487179,0.542124542,0.549450549,0.661630037,0.687271062,0.707875458,0.724358974,0.728479853
11,BP1,2021-04-12T23:52:40,11,543,C,194,0.661141805,0.673112339,0.682320442,0.686233886,0.680709024,0.680709024,0.671500921,0.629604052,0.589088398,0.488259669,0.43485267,0.436464088,0.436003683,0.449585635,0.429097606,0.417127072,0.42587477,0.432550645,0.448664825,0.504143646,0.591850829,0.619705341,0.63835175,0.665285451
12,TG1,2021-04-12T23:52:35,12,133,C,40,0.70112782,0.733082707,0.743421053,0.743421053,0.734962406,0.730263158,0.723684211,0.644736842,0.526315789,0.418233083,0.34962406,0.336466165,0.313909774,0.333646617,0.32518797,0.29887218,0.312969925,0.365601504,0.406015038,0.470864662,0.568609023,0.623120301,0.646616541,0.682330827
13,TGM2,2021-04-12T23:52:39,13,189,C,119,0.373015873,0.374338624,0.376322751,0.373015873,0.368386243,0.365079365,0.367724868,0.332671958,0.286375661,0.266534392,0.253306878,0.26984127,0.30952381,0.418650794,0.289021164,0.291666667,0.287698413,0.272486772,0.297619048,0.321428571,0.360449735,0.380952381,0.375,0.35515873
14,TE14,2021-04-12T23:52:42,14,138,C,33,0.777173913,0.787137681,0.791666667,0.798913043,0.802536232,0.792572464,0.761775362,0.712862319,0.586956522,0.497282609,0.445652174,0.483695652,0.504528986,0.496376812,0.480072464,0.46557971,0.484601449,0.474637681,0.486413043,0.52807971,0.65307971,0.735507246,0.77173913,0.787137681
15,BM3,2021-04-12T23:53:02,15,48,C,0,0.921875,0.958333333,0.9296875,0.9609375,0.955729167,0.932291667,0.958333333,0.942708333,0.864583333,0.763020833,0.739583333,0.734375,0.736979167,0.794270833,0.783854167,0.799479167,0.78125,0.828125,0.864583333,0.934895833,0.953125,0.932291667,0.932291667,0.924479167
16,BM9,2018-12-17T07:42:34,16,612,C,121,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582
17,HG44,2021-04-12T23:49:15,17,143,C,23,0.84527972,0.770979021,0.747377622,0.670454545,0.867132867,0.960664336,0.98951049,1,1,1,0.981643357,0.995629371,1,0.999125874,0.977272727,0.958041958,0.967657343,0.983391608,0.942307692,0.980769231,0.969405594,0.986888112,0.950174825,0.972902098
18,HG64,2021-04-12T23:49:28,18,81,C,33,0.617283951,0.49382716,0.408950617,0.351851852,0.435185185,0.387345679,0.421296296,0.540123457,0.975308642,0.841049383,0.87191358,0.898148148,0.899691358,0.925925926,0.726851852,0.689814815,0.833333333,0.831790123,0.862654321,0.918209877,0.87037037,0.759259259,0.774691358,0.728395062
19,PM27,2021-04-12T23:49:19,19,308,C,82,0.736201299,0.761363636,0.772321429,0.778003247,0.780438312,0.780438312,0.765827922,0.694399351,0.572646104,0.466314935,0.424918831,0.397321429,0.367694805,0.350243506,0.341720779,0.336038961,0.352678571,0.358766234,0.369318182,0.467126623,0.551542208,0.60836039,0.644886364,0.696428571
20,PM28,2021-04-12T23:49:19,20,302,C,74,0.750827815,0.764072848,0.770281457,0.76986755,0.773592715,0.775662252,0.771523179,0.724751656,0.576572848,0.482201987,0.435844371,0.404801325,0.381622517,0.377897351,0.397350993,0.394453642,0.395281457,0.405215232,0.442880795,0.516142384,0.585264901,0.645695364,0.689155629,0.735513245
21,TM36,2021-04-12T23:49:20,21,221,C,44,0.807692308,0.819004525,0.825791855,0.826923077,0.832579186,0.825226244,0.817307692,0.740384615,0.555429864,0.472850679,0.438914027,0.417986425,0.402149321,0.382352941,0.368778281,0.41459276,0.421945701,0.422511312,0.436085973,0.520927602,0.626696833,0.698529412,0.753959276,0.799773756
22,TM37,2021-04-12T23:49:23,22,238,C,62,0.737394958,0.74947479,0.755777311,0.757352941,0.762605042,0.758403361,0.744747899,0.670693277,0.456407563,0.354516807,0.316701681,0.292016807,0.277836134,0.274159664,0.265231092,0.295168067,0.301995798,0.31407563,0.344012605,0.408613445,0.512079832,0.609768908,0.679096639,0.714810924
23,T50,2021-04-12T23:49:19,23,362,C,97,0.75621547,0.768301105,0.767265193,0.761049724,0.771063536,0.77140884,0.774861878,0.702348066,0.577002762,0.467541436,0.397099448,0.398825967,0.393301105,0.397790055,0.382251381,0.392265193,0.417472376,0.439571823,0.462016575,0.568024862,0.65538674,0.69371547,0.704074586,0.729627072
