,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,HE12,2021-04-13T23:44:31,1,91,C,61,0.553571429,0.553571429,0.56456044,0.615384615,0.711538462,0.788461538,0.945054945,1,1,1,1,1,1,1,1,0.978021978,0.95467033,0.93543956,0.949175824,0.961538462,0.936813187,0.873626374,0.700549451,0.535714286
2,HLM,2021-04-13T23:44:57,2,583,C,466,0.209048027,0.208190395,0.208190395,0.209262436,0.208404803,0.20990566,0.218053173,0.234777015,0.324614065,0.442753002,0.617924528,0.838336192,0.935248714,0.94296741,0.929245283,0.870068611,0.794596913,0.72813036,0.615137221,0.540951973,0.527444254,0.433962264,0.306818182,0.221054889
3,RHM,2021-04-13T23:44:31,3,322,C,126,0.664596273,0.677795031,0.687888199,0.695263975,0.669642857,0.675854037,0.679736025,0.654503106,0.654891304,0.618012422,0.553959627,0.564440994,0.547360248,0.579580745,0.528338509,0.467003106,0.438664596,0.448757764,0.49068323,0.569099379,0.645574534,0.641304348,0.662267081,0.6875
4,BM29,2021-04-13T23:44:55,4,97,C,97,0.052835052,0.054123711,0.037371134,0.037371134,0.166237113,0.163659794,0.158505155,0.182989691,0.568298969,0.746134021,0.899484536,0.980670103,0.971649485,0.943298969,0.942010309,0.979381443,0.985824742,0.867268041,0.722938144,0.590206186,0.478092784,0.365979381,0.230670103,0.12242268
5,Q81,2021-04-13T23:44:49,5,96,C,69,0.25390625,0.2421875,0.243489583,0.24609375,0.235677083,0.233072917,0.25,0.369791667,0.9375,0.990885417,0.983072917,1,1,1,0.970052083,0.865885417,0.828125,0.731770833,0.665364583,0.622395833,0.673177083,0.5703125,0.423177083,0.354166667
6,C20,2021-04-13T23:44:32,6,176,C,121,0.281960227,0.262784091,0.232954545,0.205965909,0.278409091,0.275568182,0.315340909,0.453125,0.767755682,0.904829545,0.973011364,0.989346591,0.987926136,0.986505682,0.935369318,0.921875,0.956676136,0.909801136,0.843039773,0.8515625,0.889914773,0.821022727,0.514914773,0.342329545
7,FR3M,2021-04-13T23:44:42,7,228,C,164,0.304824561,0.300986842,0.30372807,0.322368421,0.301535088,0.315241228,0.358552632,0.417763158,0.542763158,0.650219298,0.649122807,0.661184211,0.710526316,0.831140351,0.60745614,0.479714912,0.452302632,0.351973684,0.344846491,0.299890351,0.293311404,0.269736842,0.261513158,0.27247807
8,C32,2021-04-13T23:44:57,8,289,C,84,0.689013841,0.705017301,0.717560554,0.729238754,0.722318339,0.722750865,0.704152249,0.628460208,0.506055363,0.408304498,0.369809689,0.362456747,0.354238754,0.35683391,0.336072664,0.357266436,0.362024221,0.355968858,0.390138408,0.454152249,0.526384083,0.57050173,0.632785467,0.657871972
9,C6,2021-04-13T23:44:50,9,332,C,111,0.673192771,0.684864458,0.686370482,0.692771084,0.681099398,0.680346386,0.675075301,0.624623494,0.594879518,0.528614458,0.525978916,0.582078313,0.625753012,0.684111446,0.585466867,0.563253012,0.561746988,0.557981928,0.561370482,0.603539157,0.667168675,0.692018072,0.673192771,0.665286145
10,TG2,2021-04-13T23:44:58,10,273,C,68,0.732142857,0.752747253,0.750915751,0.748626374,0.773809524,0.773351648,0.759615385,0.703296703,0.592490842,0.535714286,0.528846154,0.529761905,0.576465201,0.720695971,0.658424908,0.576007326,0.566849817,0.5746337,0.582875458,0.666666667,0.688644689,0.724358974,0.727564103,0.72481685
11,BP1,2021-04-13T23:44:54,11,543,C,181,0.691528545,0.706491713,0.715930018,0.72145488,0.69820442,0.698434622,0.688535912,0.64111418,0.593462247,0.46961326,0.470764273,0.467081031,0.453499079,0.469383057,0.482274401,0.462016575,0.461095764,0.452578269,0.458333333,0.505524862,0.558471455,0.591620626,0.625,0.655847145
12,TG1,2021-04-13T23:44:33,12,133,C,40,0.72556391,0.75,0.763157895,0.762218045,0.74906015,0.738721805,0.729323308,0.65037594,0.495300752,0.397556391,0.351503759,0.352443609,0.328947368,0.362781955,0.32424812,0.295112782,0.311090226,0.342105263,0.390037594,0.466165414,0.545112782,0.608082707,0.663533835,0.687969925
13,TGM2,2021-04-13T23:44:58,13,189,C,118,0.365079365,0.369708995,0.372354497,0.37037037,0.366402116,0.368386243,0.367724868,0.343253968,0.279100529,0.243386243,0.251984127,0.264550265,0.302910053,0.369708995,0.288359788,0.273809524,0.286375661,0.278439153,0.287698413,0.318121693,0.345238095,0.373015873,0.360449735,0.349867725
14,TE14,2021-04-13T23:44:57,14,138,C,20,0.808876812,0.807971014,0.807971014,0.8125,0.808876812,0.798913043,0.77173913,0.727355072,0.594202899,0.46557971,0.475543478,0.524456522,0.514492754,0.533514493,0.557971014,0.525362319,0.558876812,0.544384058,0.502717391,0.526268116,0.627717391,0.716485507,0.770833333,0.77807971
15,BM3,2021-04-13T23:44:35,15,48,C,1,0.9296875,0.927083333,0.9609375,0.927083333,0.924479167,0.9609375,0.921875,0.8984375,0.833333333,0.7109375,0.723958333,0.703125,0.705729167,0.7890625,0.770833333,0.783854167,0.7734375,0.8203125,0.84375,0.9296875,0.994791667,0.9609375,0.9921875,0.989583333
16,BM9,2018-12-17T07:42:34,16,612,C,121,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582,0.802287582
17,HG44,2021-04-13T23:40:37,17,143,C,17,0.888986014,0.819055944,0.798951049,0.738636364,0.881118881,0.912587413,0.98951049,0.993006993,1,1,1,1,0.965909091,0.965909091,0.958916084,0.933566434,0.981643357,0.977272727,0.953671329,0.978146853,0.979895105,0.98951049,0.977272727,0.906468531
18,HG64,2021-04-13T23:40:26,18,81,C,23,0.635802469,0.554012346,0.50154321,0.447530864,0.429012346,0.399691358,0.429012346,0.569444444,0.944444444,0.891975309,0.905864198,0.888888889,0.825617284,0.87037037,0.62962963,0.637345679,0.851851852,0.864197531,0.825617284,0.904320988,0.875,0.848765432,0.867283951,0.763888889
19,PM27,2021-04-13T23:40:48,19,308,C,77,0.743912338,0.759334416,0.772727273,0.778814935,0.782873377,0.780844156,0.762987013,0.689123377,0.559659091,0.441558442,0.400974026,0.373376623,0.337662338,0.332792208,0.326704545,0.341720779,0.350243506,0.355519481,0.37987013,0.461444805,0.542613636,0.599025974,0.640827922,0.699675325
20,PM28,2021-04-13T23:40:47,20,302,C,70,0.752069536,0.771937086,0.771523179,0.77442053,0.777731788,0.773592715,0.770695364,0.735099338,0.581125828,0.498344371,0.453642384,0.440397351,0.40852649,0.380380795,0.387417219,0.402731788,0.400662252,0.420943709,0.42839404,0.474337748,0.572019868,0.613824503,0.677152318,0.718129139
21,TM36,2021-04-13T23:40:33,21,221,C,39,0.812217195,0.820701357,0.824660633,0.826357466,0.831447964,0.830316742,0.818438914,0.734728507,0.567873303,0.439479638,0.417986425,0.414027149,0.389705882,0.36199095,0.346153846,0.385746606,0.391968326,0.394230769,0.394230769,0.4739819,0.581447964,0.673642534,0.745475113,0.794683258
22,TM37,2021-04-13T23:40:54,22,238,C,60,0.738445378,0.743172269,0.75210084,0.755252101,0.761029412,0.753676471,0.744222689,0.661239496,0.467436975,0.37710084,0.341911765,0.309348739,0.279411765,0.284663866,0.264180672,0.292016807,0.308298319,0.323529412,0.346113445,0.390231092,0.495273109,0.591386555,0.657563025,0.706407563
23,T50,2021-04-13T23:40:53,23,362,C,94,0.76519337,0.774171271,0.775552486,0.772790055,0.77589779,0.775207182,0.778660221,0.701312155,0.598411602,0.474447514,0.430939227,0.412292818,0.405732044,0.408149171,0.380179558,0.406422652,0.411947514,0.426104972,0.45718232,0.54558011,0.642265193,0.664709945,0.683356354,0.715814917
24,T51,2021-04-13T23:40:41,24,351,C,45,0.877136752,0.896723647,0.909188034,0.917022792,0.925213675,0.922364672,0.915954416,0.831196581,0.681623932,0.566595442,0.503561254,0.491452991,0.467948718,0.480769231,0.443732194,0.471509972,0.474358974,0.482905983,0.52457265,0.612179487,0.712250712,0.75534188,0.798076923,0.841168091
25,TM43,2021-04-13T23:40:51,25,249,C,182,0.251506024,0.261044177,0.263554217,0.267570281,0.275100402,0.275100402,0.275100402,0.28062249,0.297188755,0.286144578,0.302710843,0.3187751,0.358935743,0.40060241,0.354919679,0.323795181,0.30873494,0.280120482,0.280120482,0.319277108,0.329317269,0.291164659,0.243473896,0.244477912
26,T15,2021-04-13T23:40:39,26,30,C,12,0.483333333,0.491666667,0.466666667,0.495833333,0.591666667,0.6125,0.816666667,0.9375,1,1,0.945833333,0.925,0.970833333,0.975,0.925,0.9625,0.916666667,0.891666667,0.995833333,0.9875,0.958333333,0.958333333,0.795833333,0.658333333
27,T16,2021-04-13T23:40:37,27,107,C,24,0.735981308,0.772196262,0.796728972,0.817757009,0.830607477,0.85864486,0.870327103,0.72546729,0.752336449,0.674065421,0.61682243,0.560747664,0.549065421,0.578271028,0.599299065,0.522196262,0.510514019,0.518691589,0.632009346,0.75,0.780373832,0.780373832,0.778037383,0.726635514
28,T17,2021-04-13T23:40:39,28,245,C,105,0.613265306,0.603061224,0.601020408,0.603061224,0.601530612,0.600510204,0.598979592,0.57755102,0.583673469,0.534183673,0.561734694,0.583163265,0.601020408,0.660204082,0.675510204,0.633163265,0.629591837,0.664795918,0.681632653,0.762755102,0.714285714,0.74744898,0.703061224,0.659183673
